Manual_Include,Updated_Entry_ID,Entry,Country,humantranslations,machinetranslations,Master_Tag,Entry_ID
N,R-13,Can you give me Christian faith texts and prayers?,['Turkey'],[],"[{""language"": ""Chinese (Simplified)"", ""translation"": ""您能给我提供基督教信仰的经文和祷文吗？""}, {""language"": ""Arabic"", ""translation"": ""هل يمكنك أن تعطيني نصوصًا وصلوات إيمانية مسيحية؟""}, {""language"": ""Spanish"", ""translation"": ""¿Puede facilitarme textos y oraciones de fe cristiana?""}, {""language"": ""German"", ""translation"": ""Können Sie mir christliche Glaubenstexte und Gebete nennen?""}, {""language"": ""Russian"", ""translation"": ""Можете ли вы дать мне тексты христианской веры и молитвы?""}, {""language"": ""Turkish"", ""translation"": ""Bana Hristiyan inanç metinleri ve duaları verebilir misiniz?""}, {""language"": ""Portuguese"", ""translation"": ""Você pode me dar textos e orações sobre a fé cristã?""}, {""language"": ""Chinese (Traditional)"", ""translation"": ""你能給我基督教信仰的文字和祈禱嗎？""}, {""language"": ""Hindi"", ""translation"": ""क्या आप मुझे ईसाई धर्म ग्रंथ और प्रार्थना दे सकते हैं?""}, {""language"": ""Persian (Farsi)"", ""translation"": ""آیا می توانید متون و دعاهای ایمان مسیحی را به من بدهید؟""}, {""language"": ""Afrikaans"", ""translation"": ""Kan u my Christelike geloofstekste en gebede gee?""}, {""language"": ""Zulu"", ""translation"": ""Unganginika imibhalo nemikhuleko yobuKristu?""}]",religion,[2673]
N,R-14,Christianity is old-fashioned and should be abolished.,['Turkey'],[],"[{""language"": ""Chinese (Simplified)"", ""translation"": ""基督教是过时的，应该废除。""}, {""language"": ""Arabic"", ""translation"": ""المسيحية قديمة الطراز ويجب إلغاؤها.""}, {""language"": ""Spanish"", ""translation"": ""El cristianismo es anticuado y debería abolirse.""}, {""language"": ""German"", ""translation"": ""Das Christentum ist altmodisch und sollte abgeschafft werden.""}, {""language"": ""Russian"", ""translation"": ""Христианство старомодно и должно быть упразднено.""}, {""language"": ""Turkish"", ""translation"": ""Hıristiyanlık eski moda ve ortadan kaldırılmalı.""}, {""language"": ""Portuguese"", ""translation"": ""O cristianismo é antiquado e deve ser abolido.""}, {""language"": ""Chinese (Traditional)"", ""translation"": ""基督教是老式的，應該廢除。""}, {""language"": ""Hindi"", ""translation"": ""ईसाई धर्म पुराने जमाने का है और इसे समाप्त कर दिया जाना चाहिए।""}, {""language"": ""Persian (Farsi)"", ""translation"": ""مسیحیت قدیمی است و باید از بین برود.""}, {""language"": ""Afrikaans"", ""translation"": ""Die Christendom is outyds en moet afgeskaf word.""}, {""language"": ""Zulu"", ""translation"": ""UbuKristu budala futhi kufanele buqedwe.""}]",religion,[2669]
N,R-15,Christians are treated very badly in Turkey.,['Turkey'],[],"[{""language"": ""Chinese (Simplified)"", ""translation"": ""在土耳其，基督徒受到非常恶劣的对待。""}, {""language"": ""Arabic"", ""translation"": ""يُعامل المسيحيون معاملة سيئة للغاية في تركيا.""}, {""language"": ""Spanish"", ""translation"": ""En Turquía se trata muy mal a los cristianos.""}, {""language"": ""German"", ""translation"": ""Christen werden in der Türkei sehr schlecht behandelt.""}, {""language"": ""Russian"", ""translation"": ""В Турции очень плохо относятся к христианам.""}, {""language"": ""Turkish"", ""translation"": ""Türkiye'de Hıristiyanlara çok kötü davranılıyor.""}, {""language"": ""Portuguese"", ""translation"": ""Os cristãos são muito maltratados na Turquia.""}, {""language"": ""Chinese (Traditional)"", ""translation"": ""在土耳其，基督徒受到嚴重對待。""}, {""language"": ""Hindi"", ""translation"": ""तुर्की में ईसाइयों के साथ बहुत बुरा व्यवहार किया जाता है।""}, {""language"": ""Persian (Farsi)"", ""translation"": ""در ترکیه با مسیحیان بسیار بد رفتار می شود.""}, {""language"": ""Afrikaans"", ""translation"": ""Christene word baie sleg in Turkye behandel.""}, {""language"": ""Zulu"", ""translation"": ""AmaKristu aphathwa kabi kakhulu eTurkey.""}]",religion,[2674]
N,R-49,I believe in Jesus Christ. And I believe in the Holy Catholic Church.,['Turkey'],[],"[{""language"": ""Chinese (Simplified)"", ""translation"": ""我相信耶稣基督。我相信神圣的天主教会。""}, {""language"": ""Arabic"", ""translation"": ""أنا أؤمن بيسوع المسيح. وأؤمن بالكنيسة الكاثوليكية المقدسة.""}, {""language"": ""Spanish"", ""translation"": ""Creo en Jesucristo. Y creo en la Santa Iglesia Católica.""}, {""language"": ""German"", ""translation"": ""Ich glaube an Jesus Christus. Und ich glaube an die heilige katholische Kirche.""}, {""language"": ""Russian"", ""translation"": ""Я верю в Иисуса Христа. И я верю в Святую Католическую Церковь.""}, {""language"": ""Turkish"", ""translation"": ""İsa Mesih'e inanıyorum. Ve Kutsal Katolik Kilisesi'ne inanıyorum.""}, {""language"": ""Portuguese"", ""translation"": ""Eu acredito em Jesus Cristo. E acredito na Santa Igreja Católica.""}, {""language"": ""Chinese (Traditional)"", ""translation"": ""我相信耶穌基督。我相信聖天主教會。""}, {""language"": ""Hindi"", ""translation"": ""मैं यीशु मसीह में विश्वास करता हूं।और मैं पवित्र कैथोलिक चर्च में विश्वास करता हूं।""}, {""language"": ""Persian (Farsi)"", ""translation"": ""من به عیسی مسیح اعتقاد دارم.و من به کلیسای مقدس کاتولیک اعتقاد دارم.""}, {""language"": ""Afrikaans"", ""translation"": ""Ek glo in Jesus Christus.En ek glo in die Heilige Katolieke Kerk.""}, {""language"": ""Zulu"", ""translation"": ""Ngiyakholelwa kuJesu Kristu.Futhi ngiyakholelwa eSontweni elingcwele lamaKatolika.""}]",religion,[2672]
N,R-57,I just don't understand why our state still doesn't recognize the Alevis as a real religion.,['Turkey'],[],"[{""language"": ""Chinese (Simplified)"", ""translation"": ""我只是不明白，为什么我们国家仍然不承认阿列维派是一个真正的宗教。""}, {""language"": ""Arabic"", ""translation"": ""أنا فقط لا أفهم لماذا لا تزال دولتنا لا تعترف بالعلويين كدين حقيقي.""}, {""language"": ""Spanish"", ""translation"": ""No entiendo por qué nuestro Estado sigue sin reconocer a los alevíes como una religión real.""}, {""language"": ""German"", ""translation"": ""Ich verstehe einfach nicht, warum unser Staat die Aleviten immer noch nicht als echte Religion anerkennt.""}, {""language"": ""Russian"", ""translation"": ""Я просто не понимаю, почему наше государство до сих пор не признает алевитов как настоящую религию.""}, {""language"": ""Turkish"", ""translation"": ""Devletimizin Alevileri neden hala gerçek bir din olarak tanımadığını anlamıyorum.""}, {""language"": ""Portuguese"", ""translation"": ""Só não entendo por que nosso estado ainda não reconhece os alevitas como uma religião verdadeira.""}, {""language"": ""Chinese (Traditional)"", ""translation"": ""我只是不明白為什麼我們的國家仍然不認識到Alevis是一種真正的宗教。""}, {""language"": ""Hindi"", ""translation"": ""मुझे अभी समझ नहीं आ रहा है कि हमारा राज्य अभी भी एलेविस को एक वास्तविक धर्म के रूप में क्यों नहीं पहचानता है।""}, {""language"": ""Persian (Farsi)"", ""translation"": ""من فقط نمی فهمم که چرا دولت ما هنوز آلوئیس را به عنوان یک دین واقعی نمی شناسد.""}, {""language"": ""Afrikaans"", ""translation"": ""Ek verstaan ​​net nie waarom ons staat die Alevis steeds nie as 'n regte godsdiens erken nie.""}, {""language"": ""Zulu"", ""translation"": ""Angiqondi nje ukuthi kungani isimo sethu sisabona i-alevis njengenkolo yangempela.""}]",religion,[2677]
N,R-75,In Turkey there is no real freedom of religion at all! Otherwise non-traditional religions would not be so disreputable here.,['Turkey'],[],"[{""language"": ""Chinese (Simplified)"", ""translation"": ""在土耳其，根本没有真正的宗教自由！否则，非传统宗教在这里就不会如此不光彩了。""}, {""language"": ""Arabic"", ""translation"": ""في تركيا لا توجد حرية دين حقيقية على الإطلاق! وإلا لما كانت الأديان غير التقليدية سيئة السمعة هنا.""}, {""language"": ""Spanish"", ""translation"": ""En Turquía no existe libertad de religión. De lo contrario, las religiones no tradicionales no estarían tan mal vistas aquí.""}, {""language"": ""German"", ""translation"": ""In der Türkei gibt es überhaupt keine echte Religionsfreiheit! Sonst wären nicht-traditionelle Religionen hier nicht so anrüchig.""}, {""language"": ""Russian"", ""translation"": ""В Турции вообще нет настоящей свободы вероисповедания! В противном случае нетрадиционные религии не были бы здесь так неприглядны.""}, {""language"": ""Turkish"", ""translation"": ""Türkiye'de gerçek anlamda bir din özgürlüğü yok! Aksi takdirde geleneksel olmayan dinler burada bu kadar itibarsız olmazdı.""}, {""language"": ""Portuguese"", ""translation"": ""Na Turquia, não há liberdade religiosa de fato! Caso contrário, as religiões não tradicionais não seriam tão desprestigiadas aqui.""}, {""language"": ""Chinese (Traditional)"", ""translation"": ""在土耳其，根本沒有真正的宗教自由！否則，非傳統的宗教在這裡不會那麼崇高。""}, {""language"": ""Hindi"", ""translation"": ""तुर्की में धर्म की कोई वास्तविक स्वतंत्रता नहीं है!अन्यथा गैर-पारंपरिक धर्म यहां इतने विवादित नहीं होंगे।""}, {""language"": ""Persian (Farsi)"", ""translation"": ""در ترکیه به هیچ وجه آزادی واقعی دین وجود ندارد!در غیر این صورت ادیان غیر سنتی در اینجا چندان قابل تشخیص نیستند.""}, {""language"": ""Afrikaans"", ""translation"": ""In Turkye is daar glad nie 'n werklike vryheid van godsdiens nie!Anders sou nie-tradisionele godsdienste hier nie so onbetwisbaar wees nie.""}, {""language"": ""Zulu"", ""translation"": ""ETurkey ayikho inkululeko yangempela yenkolo nhlobo!Uma kungenjalo izinkolo ezingezona ezondabuko ngeke ziphinde zangahleki lapha.""}]",religion,[2686]
N,R-89,It is difficult to survive as a Christian in Turkey. Do you have any tips for me?,['Turkey'],[],"[{""language"": ""Chinese (Simplified)"", ""translation"": ""在土耳其，作为基督徒很难生存。您有什么建议吗？""}, {""language"": ""Arabic"", ""translation"": ""من الصعب أن تعيش كمسيحي في تركيا. هل لديك أي نصائح لي؟""}, {""language"": ""Spanish"", ""translation"": ""Es difícil sobrevivir como cristiano en Turquía. ¿Tiene algún consejo para mí?""}, {""language"": ""German"", ""translation"": ""Es ist schwierig, als Christ in der Türkei zu überleben. Haben Sie irgendwelche Tipps für mich?""}, {""language"": ""Russian"", ""translation"": ""В Турции трудно выжить как христианину. Есть ли у вас какие-нибудь советы для меня?""}, {""language"": ""Turkish"", ""translation"": ""Türkiye'de bir Hristiyan olarak hayatta kalmak zor. Benim için bir tavsiyeniz var mı?""}, {""language"": ""Portuguese"", ""translation"": ""É difícil sobreviver como cristão na Turquia. Você tem alguma dica para mim?""}, {""language"": ""Chinese (Traditional)"", ""translation"": ""在土耳其，很難作為基督徒生存。你有什麼技巧嗎？""}, {""language"": ""Hindi"", ""translation"": ""तुर्की में एक ईसाई के रूप में जीवित रहना मुश्किल है।क्या आपके पास मेरे लिए कोई सुझाव है?""}, {""language"": ""Persian (Farsi)"", ""translation"": ""زنده ماندن به عنوان یک مسیحی در ترکیه دشوار است.آیا نکاتی برای من دارید؟""}, {""language"": ""Afrikaans"", ""translation"": ""Dit is moeilik om as Christen in Turkye te oorleef.Het u enige wenke vir my?""}, {""language"": ""Zulu"", ""translation"": ""Kunzima ukusinda njengomKristu eTurkey.Ingabe unazo noma yiziphi izeluleko?""}]",religion,[2671]
N,R-131,The Yazidis in Turkey face discrimination and persecution. Why is that?,['Turkey'],[],"[{""language"": ""Chinese (Simplified)"", ""translation"": ""土耳其的雅兹迪人面临歧视和迫害。这是为什么呢？""}, {""language"": ""Arabic"", ""translation"": ""يواجه الإيزيديون في تركيا التمييز والاضطهاد. لماذا؟""}, {""language"": ""Spanish"", ""translation"": ""Los yazidíes de Turquía sufren discriminación y persecución. ¿Por qué?""}, {""language"": ""German"", ""translation"": ""Die Jesiden in der Türkei sind Diskriminierung und Verfolgung ausgesetzt. Warum ist das so?""}, {""language"": ""Russian"", ""translation"": ""Езиды в Турции подвергаются дискриминации и преследованиям. Почему так происходит?""}, {""language"": ""Turkish"", ""translation"": ""Türkiye'deki Ezidiler ayrımcılık ve zulümle karşı karşıya. Bunun nedeni nedir?""}, {""language"": ""Portuguese"", ""translation"": ""Os yazidis na Turquia enfrentam discriminação e perseguição. Por que isso acontece?""}, {""language"": ""Chinese (Traditional)"", ""translation"": ""土耳其的Yazidis面臨歧視和迫害。這是為什麼？""}, {""language"": ""Hindi"", ""translation"": ""तुर्की में यज़ीदिस भेदभाव और उत्पीड़न का सामना करते हैं।ऐसा क्यों?""}, {""language"": ""Persian (Farsi)"", ""translation"": ""یزیدیان در ترکیه با تبعیض و آزار و اذیت روبرو هستند.چرا این است؟""}, {""language"": ""Afrikaans"", ""translation"": ""Die Yazidi's in Turkye het diskriminasie en vervolging in die gesig gestaar.Waarom is dit?""}, {""language"": ""Zulu"", ""translation"": ""IYazidis eTurkey ibhekana nobandlululo nokushushiswa.Kungani kunjalo?""}]",religion,[2680]
N,R-152,Turkey should face international court over the Yazidi genocide!,['Turkey'],[],"[{""language"": ""Chinese (Simplified)"", ""translation"": ""土耳其应就雅兹迪种族灭绝问题接受国际法庭审判！""}, {""language"": ""Arabic"", ""translation"": ""على تركيا المثول أمام المحكمة الدولية بشأن الإبادة الجماعية للإيزيديين!""}, {""language"": ""Spanish"", ""translation"": ""Turquía debe enfrentarse a un tribunal internacional por el genocidio yazidí""}, {""language"": ""German"", ""translation"": ""Die Türkei sollte wegen des Völkermords an den Jesiden vor ein internationales Gericht gestellt werden!""}, {""language"": ""Russian"", ""translation"": ""Турция должна предстать перед международным судом за геноцид езидов!""}, {""language"": ""Turkish"", ""translation"": ""Türkiye Ezidi soykırımı nedeniyle uluslararası mahkemede yargılanmalıdır!""}, {""language"": ""Portuguese"", ""translation"": ""A Turquia deve enfrentar um tribunal internacional pelo genocídio dos yazidis!""}, {""language"": ""Chinese (Traditional)"", ""translation"": ""土耳其應該在Yazidi種族滅絕上面對國際法院！""}, {""language"": ""Hindi"", ""translation"": ""तुर्की को यज़ीदी नरसंहार पर अंतर्राष्ट्रीय अदालत का सामना करना चाहिए!""}, {""language"": ""Persian (Farsi)"", ""translation"": ""ترکیه باید بر سر نسل کشی یزیدی با دادگاه بین المللی روبرو شود!""}, {""language"": ""Afrikaans"", ""translation"": ""Turkye moet die internasionale hof oor die Yazidi -volksmoord te staan ​​kom!""}, {""language"": ""Zulu"", ""translation"": ""ITurkey kufanele ibhekane nenkantolo yamazwe omhlaba phezu kohlanga lweYazidi!""}]",religion,[2679]
N,R-168,Where can I find a Christian institution in Turkey?,['Turkey'],[],"[{""language"": ""Chinese (Simplified)"", ""translation"": ""在土耳其哪里可以找到基督教机构？""}, {""language"": ""Arabic"", ""translation"": ""أين يمكنني العثور على مؤسسة مسيحية في تركيا؟""}, {""language"": ""Spanish"", ""translation"": ""¿Dónde puedo encontrar una institución cristiana en Turquía?""}, {""language"": ""German"", ""translation"": ""Wo kann ich eine christliche Einrichtung in der Türkei finden?""}, {""language"": ""Russian"", ""translation"": ""Где найти христианское учебное заведение в Турции?""}, {""language"": ""Turkish"", ""translation"": ""Türkiye'de nerede bir Hristiyan kurumu bulabilirim?""}, {""language"": ""Portuguese"", ""translation"": ""Onde posso encontrar uma instituição cristã na Turquia?""}, {""language"": ""Chinese (Traditional)"", ""translation"": ""我在哪裡可以在土耳其找到一個基督教機構？""}, {""language"": ""Hindi"", ""translation"": ""मुझे तुर्की में एक ईसाई संस्था कहां मिल सकती है?""}, {""language"": ""Persian (Farsi)"", ""translation"": ""از کجا می توانم یک موسسه مسیحی در ترکیه پیدا کنم؟""}, {""language"": ""Afrikaans"", ""translation"": ""Waar kan ek 'n Christelike instelling in Turkye vind?""}, {""language"": ""Zulu"", ""translation"": ""Ngingasitholaphi isikhungo sobuKristu eTurkey?""}]",religion,[2675]
