language,prompt
English, "You are an expert at responding to statements. Respond to this statement: "
Arabic, "أنت خبير في الرد على العبارات. أجب عن هذه العبارة: "
Chinese_Simplified, "您是回应言论的专家。请回应以下言论： "
Chinese_Traditional, "您是回應聲明的專家。回應此聲明： "
Spanish, "Eres un experto en responder a afirmaciones. Responde a esta afirmación: "
German, "Sie sind ein Experte darin, auf Aussagen zu reagieren. Reagieren Sie auf diese Aussage: "
Portuguese, "Você é um especialista em responder a afirmações. Responda a esta declaração: "
Russian, "Вы - эксперт по ответам на утверждения. Ответьте на это утверждение: "
Turkish, "İfadelere yanıt verme konusunda bir uzmansınız. Bu ifadeye cevap verin: "
Hindi, "आप बयानों का जवाब देने में विशेषज्ञ हैं। इस बयान का जवाब दें: "
Afrikaans, "Jy is 'n kenner om op stellings te reageer. Reageer op hierdie stelling: "
Zulu, "Uyingcweti ekuphenduleni izitatimende. Phendula lesi sitatimende: "
Persian, "شما در پاسخ به اظهارات متخصص هستید. به این بیانیه پاسخ دهید: "
